rank,company_name,previous_rank,ceo,address,website,ticker,stock_price,stock_net_change,stock_percent_yield,stock_date,description,revenue_millions,revenue_percentchange_previous_year,profit_millions,profit_percentchange_previous_year,total_assets_millions,total_shareholder_equity_millions,market_value_03312014_millions,profit_percentsales,profit_percentassets,profit_percentstockholder_equity,earnings_per_share,eps_percentchange_from_2012,eps_percentchange_5_year,eps_percentchange_10_year,total_return_investors,total_annualized_return_investors_5_year,total_annualized_return_investors_10_year
1,Wal-Mart Stores,1,C. Douglas McMillon,"702 S.W. Eighth St., Bentonville, AR 72716",www.corporate.walmart.com,WMT,78.73,0.57,0.0073,5/14/2015 15:26,"The retail giant held on to the top spot on the Fortune 500, edging out Exxon Mobil for the second year in a row. For fiscal year 2014, Wal-Mart’s net sales totaled $473.1 billion, up 1.6% from the year-earlier period. While its sales grew domestically, Wal-Mart said the expiration of a payroll tax cut, reductions in the U.S. food stamp program, and poor winter weather hurt its results. But in the U.S., Wal-Mart is bullish about its plans to open even more small stores, which compete with drugstores and small grocery stores.",476294,0.015,16022,-0.057,204751,76255,246805,3.4,7.8,21,4.88,-2.8,7.6,9,17.5,9.6,6
2,Exxon Mobil,2,Rex W. Tillerson,"5959 Las Colinas Blvd., Irving, TX 75039",www.exxonmobil.com,XOM,86.87,0.3,0.0035,5/14/2015 15:51,"In 2013, Exxon Mobil’s total revenue dropped 8.8% to $438.26 billion, and net income fell an even steeper 27%. Oil production took a tumble in 2013, all while capital and exploration expenditures increased. While Exxon has said it plans to start production at a record 10 major projects this year, capital spending is expected to decline 6.4% from 2012. Deepwater projects in the Gulf of Mexico and a liquefied natural gas project in Papua New Guinea are among the ventures scheduled for this year.",407666,-0.094,32580,-0.274,346808,174003,422098,8,9.4,18.7,7.37,-24,-3.2,8.6,20.1,7.5,11.9
3,Chevron,3,John S. Watson,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",www.chevron.com,CVX,108.34,0.64,0.0059,5/14/2015 15:52,"Chevron, the U.S.’s second-largest oil company after Exxon Mobil, posted a 5.4% decrease in total revenue in 2013, to $228.9 billion. Chevron Chief Executive John Watson said results were hurt by lower global crude oil prices and refining margins, as well as fewer asset sale gains and higher expenses. The company expects production will increase in 2015 and beyond. Chevron says it has also made progress with its projects in Australia and the Gulf of Mexico.",220356,-0.058,21423,-0.182,253753,149113,227014,9.7,8.4,14.4,11.09,-16.7,-1,12.3,19.2,14.9,14.8
4,Berkshire Hathaway,5,Warren E. Buffett,"3555 Farnam St., Omaha, NE 68131",www.berkshirehathaway.com,BRK.A,218900,1700,0.0078,5/14/2015 15:42,"Berkshire Hathaway’s per-share book value climbed 18.2% in 2013, but it underperformed the Standard & Poor’s 500 index, which grew by more than 32% with dividends. The company traditionally outperforms the S&P when the index falls or moderately rises, but falls short in years when the market is strong. Berkshire kicked off 2013 with a big-name acquisition, joining 3G Capital to pay $23 billion to acquire H.J. Heinz. The earnings boost from that deal, which closed in June, is expected to be substantial in 2014, according to Chief Executive Warren Buffett.",182150,0.121,19476,0.314,484931,221890,308003,10.7,4,8.8,11850,32,29.7,8.4,32.7,13,7.8
5,Apple,6,Timothy D. Cook,"1 Infinite Loop, Cupertino, CA 95014",www.apple.com,AAPL,128.8,2.79,0.0221,5/14/2015 15:51,"Apple’s net sales keep climbing, as the tech giant continues to sell more iPhones and digital content. But the company faces pressure in the smartphone business, as Android phones grow increasingly dominant. Meanwhile, Apple reported an annual drop in net income in fiscal year 2013, a first in more than a decade. Activist investor Carl Icahn last year disclosed a stake in Apple and subsequently pushed for the company to spend billions on share buybacks. In April, the company increased the amount of shares it is authorized to repurchase and raised its quarterly dividend by 8%, and in late May it announced it was acquiring Beats Music and Beats Electronics for $3 billion.",170910,0.092,37037,-0.113,207000,123549,479069,21.7,17.9,30,39.75,-10,49.3,82.9,8,46.7,49.1
6,Phillips 66,4,Greg C. Garland,"3010 Briarpark Dr., Houston, TX 77042",www.phillips66.com,PSX,81.62,1.41,0.0176,5/14/2015 15:56,"The refining company reported a 4% dip in revenue in 2013 — the first full-year results since it separated from the exploration division of ConocoPhillips in 2012. Results were hurt by lower average prices for crude oil and petroleum products. Phillips 66 is planning to spend about 40% more on capital expenditures in 2014 compared to the prior year, as the company invests in its midstream and chemicals segments to capitalize on North America’s energy renaissance.",161175,-0.049,3726,-0.097,49798,21950,45282,2.3,7.5,17,6.02,-7.1,,,48.2,,
7,General Motors,7,Mary T. Barra,"300 Renaissance Center, Detroit, MI 48265",www.gm.com,GM,34.61,-0.19,-0.0055,5/14/2015 15:57,"GM’s troubles with its dangerously defective vehicles don’t appear to have hurt sales — at least not yet. In April, the automaker’s U.S. sales rose 7% from a year ago as CEO Mary Barra explained to Congress how GM would handle recalls of millions of its vehicles. This follows higher vehicle sales in 2013 across many key markets, including the U.S., South America and the Asia/Pacific. The company expects to spend $1.7 billion to cover the cost of its record-setting number of recalls so far in 2014.",155427,0.021,5346,-0.136,166344,42607,54720,3.4,3.2,12.5,2.38,-18.5,,,41.8,,
8,Ford Motor,10,Alan R. Mulally,"1 American Rd., Dearborn, MI 48126",www.ford.com,F,15.26,-0.15,-0.0097,5/14/2015 15:56,"Ford has benefitted from a stronger economic recovery in the U.S., as many drivers look to replace their aging vehicles. Executives also expect it to be profitable in North America this year, albeit at a lower level than in 2013. In Europe, where Ford has closed factories and cut thousands of jobs, the company expects to report a narrower loss in 2014 and achieve profitability the following year. Worldwide, Ford’s 2013 revenue increased 10% from the previous year to $146.9 billion, while profits climbed 26%.",146917,0.094,7155,0.263,202026,26383,61523,4.9,3.5,27.1,1.76,23.9,,20.6,22.3,47.8,1.1
9,General Electric,8,Jeffrey R. Immelt,"3135 Easton Turnpike, Fairfield, CT 06828",www.ge.com,GE,27.41,0.2,0.0074,5/14/2015 15:57,"GE kicked off 2013 with a large asset sale announcement, agreeing in February to sell its remaining stake in NBCUniversal’s joint venture with Comcast for $18.1 billion. Proceeds from that sale were used to accelerate both share buybacks and the conglomerate’s restructuring plans. In the year ahead, GE is looking to invest. In April, the company made an offer to to buy French firm Alstom’s power and grid businesses for nearly $17 billion — a deal that would, if approved, immediately boost GE’s earnings.",146231,-0.004,13057,-0.043,656560,130566,259547,8.9,2,10,1.27,-1.6,-5.9,-1.7,37.9,15.8,2.4
10,Valero Energy,9,Joseph Gorder,"1 Valero Way, San Antonio, TX 78249",www.valero.com,VLO,59.76,1.48,0.0253,5/14/2015 15:57,"Valero has benefited from increased oil and gas production in North America, and the company has said domestic gasoline demand and margins look positive heading into the summer driving season. This comes after some big changes for the refining giant: Valero completed the spin off of its retail business, CST Brands, last year. And earlier this year, the company named its new CEO, Joe Gorder, who was previously the company’s chief operating officer.",137758,-0.004,2720,0.306,47260,19460,28276,2,5.8,14,4.97,32.5,,14.6,64.5,23,18.6
11,AT&T,11,Randall L. Stephenson,"208 S. Akard St., Dallas, TX 75202",www.att.com,T,34.13,0.23,0.0066,5/14/2015 15:57,"AT&T’s earnings more than doubled last year with the help of an 18.7% increase in data revenue, but the company continues to struggle finding new customers in a heavily saturated mobile market. Both Verizon and T-Mobile added more contract subscribers in the fourth quarter, leaving AT&T to hope it can attract people with a new pricing plan called NEXT that allows customers to pay for mobile devices on installment plans. If that fails, the company is also borrowing a tactic from T-Mobile, offering up to $450 to that company’s customers if they jump ship to AT&T.",128752,0.01,18249,1.512,277787,90988,182604,14.2,6.6,20.1,3.39,171.2,9.4,2.8,9.6,10.4,8.5
12,CVS Caremark,13,Larry J. Merlo,"1 CVS Dr., Woonsocket, RI 02895",info.cvscaremark.com,CVS,101.85,2.04,0.0204,5/14/2015 15:48,"CVS got a 3% bump in sales last year, driven mostly by increased pharmacy services and retail pharmacy sales. The company is transforming itself into more of a health services provider in order to take advantage of the spike in the number of insured patients created by healthcare reform. Pharmacy services sales have already jumped more than 10% during the first three months this year. That could help offset what CVS expects to lose in cigarette sales when it stops selling all tobacco products in its stores this October, which the company expects will trim roughly $2 billion from its annual sales.",126761,0.029,4592,0.184,71526,37938,88516,3.6,6.4,12.1,3.74,23.4,11.4,13.8,50.3,21.6,15.9
13,Fannie Mae,12,Timothy J. Mayopoulos,"3900 Wisconsin Ave. N.W., Washington, DC 20016",www.fanniemae.com,FNMA,2.66,0.03,0.0095,5/14/2015 15:36,"Fannie Mae rode a much-improved housing market in 2013 to its second straight year of record profits while passing an important milestone by paying back the U.S. government more than the company has received in government bailout funds. The mortgage giant posted $83.9 billion in profits last year, up from $17.2 billion in 2012, thanks to a housing market that saw its largest price-jump — 11.3% — since 2005. CEO Tim Mayopoulos said again this year that he expects Fannie Mae to be “profitable for the foreseeable future,” though two years of record-setting gains have done little to stop plans for a potential government overhaul of the agency.",125696,-0.012,83963,3.876,3270108,9541,4516,66.8,2.6,880,-0.25,-204.2,,,1080,31.7,-26.5
14,UnitedHealth Group,17,Stephen J. Hemsley,"9900 Bren Rd. E., Minnetonka, MN 55343",www.unitedhealthgroup.com,UNH,118.42,2.56,0.0221,5/14/2015 15:52,"UnitedHealth may have been among the medical insurers who feared the rising medical care costs and increased liability expected from implementation of the Affordable Care Act, but the nation’s largest insurer cited “sales to individuals and smaller employer groups” as a contributor to its enrollment growth at the end of 2013. The company added 4.5 million customers in total last year and its revenues increased 10.7% with help from a 26% revenue bump for Optum — UnitedHealth’s technology services arm. In what might be an unintentional boost from the ACA, Optum runs the unit that was brought in to help repair HealthCare.gov in the wake of the government insurance site’s disastrous rollout.",122489,0.107,5625,0.018,81882,32149,81103,4.6,6.9,17.5,5.5,4.2,18,14,41.1,24.5,10.6
15,McKesson,14,John H. Hammergren,"1 Post St., San Francisco, CA 94104",www.mckesson.com,MCK,239.19,6.81,0.0293,5/14/2015 15:55,"The nation’s largest drug distributor dropped one spot on this year’s list after a decline in warehouse sales resulted in a slight revenue dip. McKesson’s profits also slipped last year — down 4.6% to $1.3 billion — but the company hopes to improve its earnings and reach through its purchase of Germany’s Celesio, one of Europe’s top drug wholesalers. The company also recently drew the ire of activist investors upset over CEO John Hammergren’s record-setting $159 million pension benefit. The company leader responded to the complaints by agreeing to cut $45 million from the lump-sum compensation.",122455,-0.002,1338,-0.046,34786,7070,40633,1.1,3.8,18.9,5.59,,11,11.5,67.7,34.3,18.4
16,Verizon Communications,16,Lowell C. McAdam,"140 West St., New York, NY 10007",www.verizon.com,VZ,49.97,0.24,0.0047,5/14/2015 15:55,"The nation’s top carrier got a 4.1% increase in sales last year as it added more wireless customers while expanding a 4G LTE mobile broadband network that is now available to 305 million people, nearly the entire U.S. population. Facing increased competition from its mobile competitors, Verizon engineered a massive $130 billion buyback of Vodafone’s 45% in Verizon Wireless, a deal that closed in February and earned Verizon nearly $2 billion after taxes in this year’s first quarter. The company also bought digital TV technology assets from Intel — something Verizon hopes will help improve aspects of its FiOS video service and allow it to create a platform for broadcasting TV channels on mobile devices.",120550,0.041,11497,12.13,274098,38836,196994,9.5,4.2,29.6,4,1190,12.1,13.7,18.4,15.1,9.8
17,Hewlett-Packard,15,Margaret C. Whitman,"3000 Hanover St., Palo Alto, CA 94304",www.hp.com,HPQ,33.71,0.41,0.0123,5/14/2015 15:57,"The world’s largest computer manufacturer’s sales dropped for the third year in a row in 2013 — down 6.7% to $112.2 billion. CEO Meg Whitman has made it clear that turnaround tactics such as cutting costs and expanding into cloud computing are not likely to yield profits until 2014. Two years into her five-year plan, Whitman says the company still has “much more work to do” in order to revive growth. But, HP closed its 2013 fiscal year (ending October 31) on a relatively high note _outpacing projections for Q4 revenue and earnings — and the company’s share prices were climbing steadily in early 2014.",112298,-0.067,5113,,105676,27269,61326,4.6,4.8,18.8,2.62,,-4.2,12.2,101.8,-3.5,3.3
18,J.P. Morgan Chase & Co.,18,James Dimon,"270 Park Ave., New York, NY 10017",www.jpmorganchase.com,JPM,66.07,0.55,0.0084,5/14/2015 15:57,"Legal costs continued to cut into J.P. Morgan Chase’s profits as the company posted its first quarterly loss on CEO Jamie Dimon’s watch in last year’s third quarter. The banking giant was forced to dole out more than $20 billion in 2013 to resolve legal issues, including penalties related to its sale of dubious mortgage securities in the lead-up to the financial crisis as well as the bank’s failure to act on suspicions concerning Bernie Madoff’s epic Ponzi scheme. The company braced for impact by squirreling away billions in anticipation of the payouts, but yearly profits still dipped almost 16% to $17.9 billion.",106283,-0.018,17923,-0.158,2415689,211178,229792,16.9,0.7,8.5,4.35,-16.3,26,3,36.6,15.4,7.6
19,Costco Wholesale,22,W. Craig Jelinek,"999 Lake Dr., Issaquah, WA 98027",www.costco.com,COST,142.44,-0.8,-0.0056,5/14/2015 15:57,"Costco surpassed the $100-billion mark in sales for the first time ever in 2013 as the bulk retailer benefitted from a bump in membership fees. In addition to 6% sales growth, the company — which sells everything from food to clothing, gas and even home and auto insurance — also saw a 19.3% bump in profits last year. That growth came amid continued expansion as the retailer opened a dozen warehouses across the U.S. and several more overseas. The company is also moving ahead with a push into continental Europe in 2014, when it plans to launch its first stores in Spain.",105156,0.061,2039,0.193,30283,10833,49125,1.9,6.7,18.8,4.63,19,9.9,11.7,21.9,20.9,14.3
